Zip,City,Date,Price
30349,Atlanta,1/31/1996,97498
30349,Atlanta,2/29/1996,98023
30349,Atlanta,3/31/1996,98438
30349,Atlanta,4/30/1996,99297
30349,Atlanta,5/31/1996,100063
30349,Atlanta,6/30/1996,100805
30349,Atlanta,7/31/1996,101325
30349,Atlanta,8/31/1996,101816
30349,Atlanta,9/30/1996,102252
30349,Atlanta,10/31/1996,102684
30349,Atlanta,11/30/1996,103045
30349,Atlanta,12/31/1996,103254
30349,Atlanta,1/31/1997,103401
30349,Atlanta,2/28/1997,103511
30349,Atlanta,3/31/1997,103743
30349,Atlanta,4/30/1997,104153
30349,Atlanta,5/31/1997,104585
30349,Atlanta,6/30/1997,104985
30349,Atlanta,7/31/1997,105432
30349,Atlanta,8/31/1997,105755
30349,Atlanta,9/30/1997,106297
30349,Atlanta,10/31/1997,106936
30349,Atlanta,11/30/1997,107625
30349,Atlanta,12/31/1997,108263
30349,Atlanta,1/31/1998,109085
30349,Atlanta,2/28/1998,109799
30349,Atlanta,3/31/1998,110418
30349,Atlanta,4/30/1998,110575
30349,Atlanta,5/31/1998,110788
30349,Atlanta,6/30/1998,111043
30349,Atlanta,7/31/1998,111719
30349,Atlanta,8/31/1998,112667
30349,Atlanta,9/30/1998,113275
30349,Atlanta,10/31/1998,113663
30349,Atlanta,11/30/1998,114041
30349,Atlanta,12/31/1998,114804
30349,Atlanta,1/31/1999,115431
30349,Atlanta,2/28/1999,115988
30349,Atlanta,3/31/1999,116549
30349,Atlanta,4/30/1999,117271
30349,Atlanta,5/31/1999,118116
30349,Atlanta,6/30/1999,118957
30349,Atlanta,7/31/1999,119713
30349,Atlanta,8/31/1999,120346
30349,Atlanta,9/30/1999,121056
30349,Atlanta,10/31/1999,121735
30349,Atlanta,11/30/1999,122486
30349,Atlanta,12/31/1999,123257
30349,Atlanta,1/31/2000,123876
30349,Atlanta,2/29/2000,124802
30349,Atlanta,3/31/2000,125626
30349,Atlanta,4/30/2000,126772
30349,Atlanta,5/31/2000,127681
30349,Atlanta,6/30/2000,128463
30349,Atlanta,7/31/2000,129160
30349,Atlanta,8/31/2000,129851
30349,Atlanta,9/30/2000,130671
30349,Atlanta,10/31/2000,131669
30349,Atlanta,11/30/2000,132426
30349,Atlanta,12/31/2000,133086
30349,Atlanta,1/31/2001,133791
30349,Atlanta,2/28/2001,134624
30349,Atlanta,3/31/2001,135619
30349,Atlanta,4/30/2001,136560
30349,Atlanta,5/31/2001,137569
30349,Atlanta,6/30/2001,138736
30349,Atlanta,7/31/2001,139850
30349,Atlanta,8/31/2001,140934
30349,Atlanta,9/30/2001,141895
30349,Atlanta,10/31/2001,142826
30349,Atlanta,11/30/2001,143989
30349,Atlanta,12/31/2001,144993
30349,Atlanta,1/31/2002,145866
30349,Atlanta,2/28/2002,146239
30349,Atlanta,3/31/2002,146470
30349,Atlanta,4/30/2002,146592
30349,Atlanta,5/31/2002,146805
30349,Atlanta,6/30/2002,147222
30349,Atlanta,7/31/2002,147739
30349,Atlanta,8/31/2002,148307
30349,Atlanta,9/30/2002,148740
30349,Atlanta,10/31/2002,149063
30349,Atlanta,11/30/2002,149409
30349,Atlanta,12/31/2002,149702
30349,Atlanta,1/31/2003,150007
30349,Atlanta,2/28/2003,150282
30349,Atlanta,3/31/2003,150789
30349,Atlanta,4/30/2003,151292
30349,Atlanta,5/31/2003,151738
30349,Atlanta,6/30/2003,151827
30349,Atlanta,7/31/2003,151933
30349,Atlanta,8/31/2003,151851
30349,Atlanta,9/30/2003,151860
30349,Atlanta,10/31/2003,151851
30349,Atlanta,11/30/2003,151822
30349,Atlanta,12/31/2003,152071
30349,Atlanta,1/31/2004,152519
30349,Atlanta,2/29/2004,153308
30349,Atlanta,3/31/2004,153840
30349,Atlanta,4/30/2004,154337
30349,Atlanta,5/31/2004,154679
30349,Atlanta,6/30/2004,155056
30349,Atlanta,7/31/2004,155331
30349,Atlanta,8/31/2004,155732
30349,Atlanta,9/30/2004,156213
30349,Atlanta,10/31/2004,156910
30349,Atlanta,11/30/2004,157533
30349,Atlanta,12/31/2004,158013
30349,Atlanta,1/31/2005,158382
30349,Atlanta,2/28/2005,158789
30349,Atlanta,3/31/2005,159270
30349,Atlanta,4/30/2005,159831
30349,Atlanta,5/31/2005,160368
30349,Atlanta,6/30/2005,160902
30349,Atlanta,7/31/2005,161145
30349,Atlanta,8/31/2005,161588
30349,Atlanta,9/30/2005,162133
30349,Atlanta,10/31/2005,162405
30349,Atlanta,11/30/2005,162760
30349,Atlanta,12/31/2005,163127
30349,Atlanta,1/31/2006,163684
30349,Atlanta,2/28/2006,163960
30349,Atlanta,3/31/2006,164068
30349,Atlanta,4/30/2006,164089
30349,Atlanta,5/31/2006,164251
30349,Atlanta,6/30/2006,164355
30349,Atlanta,7/31/2006,164833
30349,Atlanta,8/31/2006,165023
30349,Atlanta,9/30/2006,165110
30349,Atlanta,10/31/2006,165328
30349,Atlanta,11/30/2006,165424
30349,Atlanta,12/31/2006,165695
30349,Atlanta,1/31/2007,166050
30349,Atlanta,2/28/2007,166627
30349,Atlanta,3/31/2007,167177
30349,Atlanta,4/30/2007,167422
30349,Atlanta,5/31/2007,167450
30349,Atlanta,6/30/2007,167747
30349,Atlanta,7/31/2007,167870
30349,Atlanta,8/31/2007,167728
30349,Atlanta,9/30/2007,166966
30349,Atlanta,10/31/2007,165880
30349,Atlanta,11/30/2007,164718
30349,Atlanta,12/31/2007,163402
30349,Atlanta,1/31/2008,161575
30349,Atlanta,2/29/2008,159314
30349,Atlanta,3/31/2008,157163
30349,Atlanta,4/30/2008,155221
30349,Atlanta,5/31/2008,153500
30349,Atlanta,6/30/2008,150995
30349,Atlanta,7/31/2008,148346
30349,Atlanta,8/31/2008,145613
30349,Atlanta,9/30/2008,143050
30349,Atlanta,10/31/2008,140097
30349,Atlanta,11/30/2008,136470
30349,Atlanta,12/31/2008,132166
30349,Atlanta,1/31/2009,127702
30349,Atlanta,2/28/2009,123529
30349,Atlanta,3/31/2009,119293
30349,Atlanta,4/30/2009,114708
30349,Atlanta,5/31/2009,109991
30349,Atlanta,6/30/2009,106114
30349,Atlanta,7/31/2009,103126
30349,Atlanta,8/31/2009,100755
30349,Atlanta,9/30/2009,98851
30349,Atlanta,10/31/2009,97464
30349,Atlanta,11/30/2009,96688
30349,Atlanta,12/31/2009,96217
30349,Atlanta,1/31/2010,95682
30349,Atlanta,2/28/2010,94680
30349,Atlanta,3/31/2010,93824
30349,Atlanta,4/30/2010,93711
30349,Atlanta,5/31/2010,94358
30349,Atlanta,6/30/2010,94598
30349,Atlanta,7/31/2010,93852
30349,Atlanta,8/31/2010,92353
30349,Atlanta,9/30/2010,90439
30349,Atlanta,10/31/2010,88553
30349,Atlanta,11/30/2010,86645
30349,Atlanta,12/31/2010,84979
30349,Atlanta,1/31/2011,83659
30349,Atlanta,2/28/2011,82863
30349,Atlanta,3/31/2011,81812
30349,Atlanta,4/30/2011,80404
30349,Atlanta,5/31/2011,78179
30349,Atlanta,6/30/2011,76377
30349,Atlanta,7/31/2011,74840
30349,Atlanta,8/31/2011,73833
30349,Atlanta,9/30/2011,73206
30349,Atlanta,10/31/2011,72726
30349,Atlanta,11/30/2011,72431
30349,Atlanta,12/31/2011,71889
30349,Atlanta,1/31/2012,71458
30349,Atlanta,2/29/2012,71014
30349,Atlanta,3/31/2012,71088
30349,Atlanta,4/30/2012,71279
30349,Atlanta,5/31/2012,71831
30349,Atlanta,6/30/2012,72200
30349,Atlanta,7/31/2012,72772
30349,Atlanta,8/31/2012,73300
30349,Atlanta,9/30/2012,73606
30349,Atlanta,10/31/2012,73633
30349,Atlanta,11/30/2012,73448
30349,Atlanta,12/31/2012,73880
30349,Atlanta,1/31/2013,74580
30349,Atlanta,2/28/2013,75610
30349,Atlanta,3/31/2013,76705
30349,Atlanta,4/30/2013,77933
30349,Atlanta,5/31/2013,79186
30349,Atlanta,6/30/2013,80296
30349,Atlanta,7/31/2013,81570
30349,Atlanta,8/31/2013,83014
30349,Atlanta,9/30/2013,84926
30349,Atlanta,10/31/2013,87357
30349,Atlanta,11/30/2013,90098
30349,Atlanta,12/31/2013,92375
30349,Atlanta,1/31/2014,94230
30349,Atlanta,2/28/2014,95612
30349,Atlanta,3/31/2014,96598
30349,Atlanta,4/30/2014,97407
30349,Atlanta,5/31/2014,98194
30349,Atlanta,6/30/2014,99398
30349,Atlanta,7/31/2014,100490
30349,Atlanta,8/31/2014,101732
30349,Atlanta,9/30/2014,102604
30349,Atlanta,10/31/2014,103188
30349,Atlanta,11/30/2014,103395
30349,Atlanta,12/31/2014,103905
30349,Atlanta,1/31/2015,104474
30349,Atlanta,2/28/2015,105145
30349,Atlanta,3/31/2015,105711
30349,Atlanta,4/30/2015,106345
30349,Atlanta,5/31/2015,107285
30349,Atlanta,6/30/2015,108272
30349,Atlanta,7/31/2015,109265
30349,Atlanta,8/31/2015,109908
30349,Atlanta,9/30/2015,110516
30349,Atlanta,10/31/2015,110791
30349,Atlanta,11/30/2015,111350
30349,Atlanta,12/31/2015,111728
30349,Atlanta,1/31/2016,112534
30349,Atlanta,2/29/2016,113426
30349,Atlanta,3/31/2016,114646
30349,Atlanta,4/30/2016,116035
30349,Atlanta,5/31/2016,117039
30349,Atlanta,6/30/2016,117771
30349,Atlanta,7/31/2016,118384
30349,Atlanta,8/31/2016,119106
30349,Atlanta,9/30/2016,119824
30349,Atlanta,10/31/2016,121015
30349,Atlanta,11/30/2016,122321
30349,Atlanta,12/31/2016,123726
30349,Atlanta,1/31/2017,125043
30349,Atlanta,2/28/2017,126324
30349,Atlanta,3/31/2017,127628
30349,Atlanta,4/30/2017,128364
30349,Atlanta,5/31/2017,129075
30349,Atlanta,6/30/2017,130065
30349,Atlanta,7/31/2017,131261
30349,Atlanta,8/31/2017,132731
30349,Atlanta,9/30/2017,134196
30349,Atlanta,10/31/2017,135643
30349,Atlanta,11/30/2017,136854
30349,Atlanta,12/31/2017,138012
30349,Atlanta,1/31/2018,138478
30349,Atlanta,2/28/2018,139071
30349,Atlanta,3/31/2018,139538
30349,Atlanta,4/30/2018,141023
30349,Atlanta,5/31/2018,142819
30349,Atlanta,6/30/2018,144673
30349,Atlanta,7/31/2018,146114
30349,Atlanta,8/31/2018,147043
30349,Atlanta,9/30/2018,148165
30349,Atlanta,10/31/2018,149449
30349,Atlanta,11/30/2018,150825
30349,Atlanta,12/31/2018,151994
30349,Atlanta,1/31/2019,153465
30349,Atlanta,2/28/2019,154511
30349,Atlanta,3/31/2019,156047
30349,Atlanta,4/30/2019,157385
30349,Atlanta,5/31/2019,159385
30349,Atlanta,6/30/2019,160433
30349,Atlanta,7/31/2019,161457
30349,Atlanta,8/31/2019,162394
30349,Atlanta,9/30/2019,163536
30349,Atlanta,10/31/2019,164231
30349,Atlanta,11/30/2019,164839
30349,Atlanta,12/31/2019,165578
30349,Atlanta,1/31/2020,166689
30349,Atlanta,2/29/2020,168111
30349,Atlanta,3/31/2020,169236
30349,Atlanta,4/30/2020,170161
30349,Atlanta,5/31/2020,170468
30349,Atlanta,6/30/2020,171519
30349,Atlanta,7/31/2020,172848
30349,Atlanta,8/31/2020,174538
30349,Atlanta,9/30/2020,176047
30349,Atlanta,10/31/2020,177895
30044,Lawrenceville,1/31/1996,116326
30044,Lawrenceville,2/29/1996,116520
30044,Lawrenceville,3/31/1996,116730
30044,Lawrenceville,4/30/1996,117126
30044,Lawrenceville,5/31/1996,117532
30044,Lawrenceville,6/30/1996,117909
30044,Lawrenceville,7/31/1996,118289
30044,Lawrenceville,8/31/1996,118661
30044,Lawrenceville,9/30/1996,118989
30044,Lawrenceville,10/31/1996,119322
30044,Lawrenceville,11/30/1996,119579
30044,Lawrenceville,12/31/1996,119934
30044,Lawrenceville,1/31/1997,120007
30044,Lawrenceville,2/28/1997,120149
30044,Lawrenceville,3/31/1997,120233
30044,Lawrenceville,4/30/1997,120586
30044,Lawrenceville,5/31/1997,120900
30044,Lawrenceville,6/30/1997,121237
30044,Lawrenceville,7/31/1997,121566
30044,Lawrenceville,8/31/1997,122076
30044,Lawrenceville,9/30/1997,122627
30044,Lawrenceville,10/31/1997,123185
30044,Lawrenceville,11/30/1997,123450
30044,Lawrenceville,12/31/1997,123806
30044,Lawrenceville,1/31/1998,124547
30044,Lawrenceville,2/28/1998,125416
30044,Lawrenceville,3/31/1998,126110
30044,Lawrenceville,4/30/1998,126447
30044,Lawrenceville,5/31/1998,126847
30044,Lawrenceville,6/30/1998,127276
30044,Lawrenceville,7/31/1998,127692
30044,Lawrenceville,8/31/1998,127811
30044,Lawrenceville,9/30/1998,128010
30044,Lawrenceville,10/31/1998,128239
30044,Lawrenceville,11/30/1998,129210
30044,Lawrenceville,12/31/1998,129729
30044,Lawrenceville,1/31/1999,130311
30044,Lawrenceville,2/28/1999,130538
30044,Lawrenceville,3/31/1999,131255
30044,Lawrenceville,4/30/1999,131945
30044,Lawrenceville,5/31/1999,132542
30044,Lawrenceville,6/30/1999,133131
30044,Lawrenceville,7/31/1999,133811
30044,Lawrenceville,8/31/1999,134558
30044,Lawrenceville,9/30/1999,135257
30044,Lawrenceville,10/31/1999,135873
30044,Lawrenceville,11/30/1999,136383
30044,Lawrenceville,12/31/1999,137128
30044,Lawrenceville,1/31/2000,137791
30044,Lawrenceville,2/29/2000,138605
